experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,process_timestamp,ml_timestamp
EA_1,r6,69.67758973197674,1753175963.9290764,1753175964.0114076,1753175964.035,1753175964.0561478
EA_1,r6,69.67768722816858,1753175970.7606738,1753175970.8179696,1753175970.843,1753175970.861501
EA_1,r6,69.67774447978971,1753175977.5378897,1753175977.6098588,1753175977.649,1753175977.6680775
EA_1,r6,69.6775979156704,1753175984.3662295,1753175984.4458432,1753175984.456,1753175984.475191
EA_1,r6,69.6777657990761,1753175991.1258988,1753175991.195238,1753175991.262,1753175991.2876623
EA_1,r6,69.67763422470837,1753175997.9268448,1753175997.9995518,1753175998.07,1753175998.0890403
EA_1,r6,69.67737559344489,1753176004.7271633,1753176004.7850778,1753176004.876,1753176004.8955631
EA_1,r6,69.67757003637907,1753176011.4945972,1753176011.5671585,1753176011.582,1753176011.6018815
EA_1,r6,69.67796349143465,1753176018.3979897,1753176018.4543874,1753176018.492,1753176018.5126164
EA_1,r6,69.67734680570317,1753176025.2129452,1753176025.2728264,1753176025.299,1753176025.3192816
EA_1,r6,69.67760376428413,1753176032.0847628,1753176032.1572318,1753176032.206,1753176032.2262
EA_1,r6,69.67770659982772,1753176038.9957545,1753176039.0568929,1753176039.114,1753176039.134906
EA_1,r6,69.67767548966698,1753176046.0483363,1753176046.1075292,1753176046.12,1753176046.139303
EA_1,r6,69.67782838247327,1753176052.8568223,1753176052.9516757,1753176053.026,1753176053.046767
EA_1,r6,69.67747183161285,1753176060.2905612,1753176060.3523927,1753176060.432,1753176060.451445
EA_1,r6,69.67717946649074,1753176067.1355252,1753176067.1959746,1753176067.237,1753176067.2562425
EA_1,r6,69.67812525110048,1753176073.8517532,1753176073.9499676,1753176074.042,1753176074.0619235
EA_1,r6,69.67761305159465,1753176080.6395166,1753176080.6954393,1753176080.747,1753176080.7666907
EA_1,r6,69.67776203858296,1753176087.5088727,1753176087.5711575,1753176087.655,1753176087.675045
EA_1,r6,69.67732941448399,1753176094.3166552,1753176094.408828,1753176094.461,1753176094.4801354
EA_1,r6,69.67760261983547,1753176101.1250522,1753176101.1843197,1753176101.268,1753176101.2888951
EA_1,r6,69.67754762830657,1753176107.948474,1753176108.0191555,1753176108.074,1753176108.0934243
EA_1,r6,69.67775468562266,1753176114.7139173,1753176114.794629,1753176114.88,1753176114.8996904
EA_1,r6,69.6782802390134,1753176121.5497375,1753176121.6080062,1753176121.687,1753176121.7075493
EA_1,r6,69.68478081311741,1753176128.4347494,1753176128.508651,1753176128.594,1753176128.6165984
EA_1,r6,69.69301797001913,1753176135.2492933,1753176135.3078487,1753176135.4,1753176135.4212563
EA_1,r6,69.69319462061353,1753176142.0974715,1753176142.1559756,1753176142.208,1753176142.2276278
EA_1,r6,69.69311258137023,1753176148.978238,1753176149.0509706,1753176149.115,1753176149.1352844
EA_1,r6,69.6920002352361,1753176155.7051458,1753176155.7714796,1753176155.823,1753176155.8422976
EA_1,r6,69.69293961052796,1753176162.7294772,1753176162.7863233,1753176162.83,1753176162.8497186
EA_1,r6,69.69266866055169,1753176169.481662,1753176169.5552633,1753176169.638,1753176169.657131
EA_1,r6,69.69303617266547,1753176176.475118,1753176176.532761,1753176176.546,1753176176.565636
EA_1,r6,69.6929195653657,1753176183.4056926,1753176183.4843016,1753176183.554,1753176183.5730338
EA_1,r6,69.69316664291844,1753176190.2935314,1753176190.3650498,1753176190.461,1753176190.4805603
EA_1,r6,69.69273933759398,1753176197.1832635,1753176197.2473595,1753176197.269,1753176197.288523
EA_1,r6,69.69268695161324,1753176204.0239663,1753176204.1018155,1753176204.176,1753176204.1951172
EA_1,r6,69.69311201870234,1753176211.0471022,1753176211.1218128,1753176211.184,1753176211.2031977
EA_1,r6,69.6928615573913,1753176217.9883218,1753176218.045056,1753176218.092,1753176218.1110597
EA_1,r6,69.69328565313579,1753176224.967987,1753176225.0630658,1753176225.1,1753176225.120024
EA_1,r6,69.69277313740002,1753176231.9716938,1753176232.0276966,1753176232.107,1753176232.125983
EA_1,r6,69.69291062006772,1753176239.050664,1753176239.109079,1753176239.115,1753176239.1341581
EA_1,r6,69.6918345788649,1753176246.0063567,1753176246.1079197,1753176246.122,1753176246.1440632
EA_1,r6,69.69347798516354,1753176253.1573954,1753176253.214746,1753176253.23,1753176253.252973
EA_1,r6,69.6930599483185,1753176260.1155918,1753176260.1727393,1753176260.238,1753176260.260651
EA_1,r6,69.69296471986884,1753176267.0410388,1753176267.114349,1753176267.146,1753176267.1681204
EA_1,r6,69.69189437208335,1753176274.001538,1753176274.0590658,1753176274.154,1753176274.1766002
EA_1,r6,69.69310246448657,1753176280.9069054,1753176280.9648113,1753176281.061,1753176281.0835366
EA_1,r6,69.69259450548664,1753176287.8666635,1753176287.9386122,1753176287.968,1753176287.9908378
EA_1,r6,69.69328457610305,1753176294.766794,1753176294.8248484,1753176294.875,1753176294.897334
EA_1,r6,69.69293944349482,1753176301.7536185,1753176301.8115056,1753176301.883,1753176301.9021447
EA_1,r6,69.69990249655409,1753176308.6528544,1753176308.7330015,1753176308.791,1753176308.81043
EA_1,r6,69.70864421162969,1753176315.4925928,1753176315.5720236,1753176315.598,1753176315.6174731
EA_1,r6,69.70831429681259,1753176322.6595507,1753176322.720834,1753176322.807,1753176322.8262374
EA_1,r6,69.70746120679415,1753176329.5758674,1753176329.651829,1753176329.714,1753176329.7342615
EA_1,r6,69.70820248899945,1753176336.5805678,1753176336.6623745,1753176336.723,1753176336.7423687
EA_1,r6,69.70859760901482,1753176343.5197694,1753176343.6000032,1753176343.63,1753176343.649166
EA_1,r6,69.70829027043847,1753176350.5897226,1753176350.6499028,1753176350.738,1753176350.75717
EA_1,r6,69.7073674312351,1753176357.5185735,1753176357.5975635,1753176357.646,1753176357.6652772
EA_1,r6,69.70796003186713,1753176364.3879228,1753176364.4614859,1753176364.553,1753176364.5723648
EA_1,r6,69.7088302792528,1753176371.2734003,1753176371.3345146,1753176371.36,1753176371.3797767
EA_1,r6,69.70719479164018,1753176378.2373073,1753176378.3214176,1753176378.368,1753176378.3870182
EA_1,r6,69.70776198608529,1753176385.6830359,1753176385.76982,1753176385.776,1753176385.7961118
EA_1,r6,69.70863245402352,1753176392.600103,1753176392.6613345,1753176392.681,1753176392.7005339
EA_1,r6,69.70811951543617,1753176399.3621995,1753176399.4185941,1753176399.487,1753176399.5028226
EA_1,r6,69.70819723090442,1753176406.5790207,1753176406.6514494,1753176406.693,1753176406.7124627
EA_1,r6,69.70805089935757,1753176413.513105,1753176413.5730524,1753176413.599,1753176413.6184182
EA_1,r6,69.70798527102237,1753176420.3144236,1753176420.3721416,1753176420.406,1753176420.4247744
EA_1,r6,69.69869327861508,1753176427.3431,1753176427.419198,1753176427.511,1753176427.5302534
EA_1,r6,69.69268433832819,1753176434.194608,1753176434.2547302,1753176434.316,1753176434.3350024
EA_1,r6,69.69307069817712,1753176441.0193753,1753176441.0798059,1753176441.121,1753176441.1405528
EA_1,r6,69.69252282830271,1753176447.9076674,1753176448.0203469,1753176448.027,1753176448.046687
EA_1,r6,69.69293660176655,1753176454.8593428,1753176454.9182148,1753176454.933,1753176454.95196
EA_1,r6,69.69275726288276,1753176461.897358,1753176461.9694648,1753176462.039,1753176462.0597792
EA_1,r6,69.69304930447369,1753176468.6705263,1753176468.7540147,1753176468.846,1753176468.8672457
EA_1,r6,69.69283694883602,1753176475.5481207,1753176475.6069913,1753176475.652,1753176475.6716
EA_1,r6,69.69274385221738,1753176482.4337983,1753176482.4965525,1753176482.559,1753176482.5791976
EA_1,r6,69.63962637269674,1753176489.228045,1753176489.3136435,1753176489.367,1753176489.3868947
EA_1,r6,69.62332158347434,1753176496.1574662,1753176496.2177446,1753176496.274,1753176496.2943227
EA_1,r6,69.80427997828531,1753176503.2872612,1753176503.3632987,1753176503.382,1753176503.4016752
EA_1,r6,70.09246591283052,1753176510.1476057,1753176510.233394,1753176510.292,1753176510.3118236
EA_1,r6,69.67330014841582,1753176517.1338937,1753176517.1938117,1753176517.2,1753176517.2201076
EA_1,r6,70.23192219184848,1753176523.9557242,1753176524.0360808,1753176524.109,1753176524.1280904
EA_1,r6,69.67330024085588,1753176530.8272748,1753176530.8881013,1753176530.918,1753176530.9365625
EA_1,r6,69.69339093846537,1753176537.7412093,1753176537.8025424,1753176537.826,1753176537.8459675
EA_1,r6,69.91480737883788,1753176544.6321774,1753176544.7065141,1753176544.734,1753176544.754555
EA_1,r6,70.23192207553262,1753176551.5453014,1753176551.6036339,1753176551.642,1753176551.661246
EA_1,r6,69.61529484793256,1753176558.3834314,1753176558.4447663,1753176558.45,1753176558.4700015
EA_1,r6,69.79999822116223,1753176565.2416952,1753176565.3170583,1753176565.359,1753176565.3784454
EA_1,r6,69.61662049432444,1753176572.0774033,1753176572.1372187,1753176572.167,1753176572.1870613
EA_1,r6,69.61995855193035,1753176579.0931203,1753176579.1872828,1753176579.275,1753176579.2961402
EA_1,r6,69.919217149616,1753176586.0991566,1753176586.158321,1753176586.183,1753176586.2032764
EA_1,r6,69.67330013709692,1753176593.0997577,1753176593.1589153,1753176593.192,1753176593.2109978
EA_1,r6,70.22457512077604,1753176600.245542,1753176600.3373272,1753176600.401,1753176600.4208064
EA_1,r6,69.67330020965115,1753176607.1554005,1753176607.2164278,1753176607.309,1753176607.3279943
EA_1,r6,69.81255369556638,1753176614.073863,1753176614.134846,1753176614.217,1753176614.2379534
EA_1,r6,69.6733002228318,1753176620.9674885,1753176621.0656042,1753176621.125,1753176621.1438494
EA_1,r6,69.9192172077974,1753176627.9305766,1753176627.9896698,1753176628.032,1753176628.0510917
EA_1,r6,69.91480737940262,1753176634.8207319,1753176634.8811955,1753176634.941,1753176634.9612927
EA_1,r6,70.23192212677955,1753176641.693334,1753176641.7956047,1753176641.849,1753176641.8678641
EA_1,r6,69.6059887440794,1753176648.575768,1753176648.6346455,1753176648.656,1753176648.6767714
EA_1,r6,69.8042801592043,1753176655.5346043,1753176655.5974026,1753176655.664,1753176655.682726
EA_1,r6,70.09246599470859,1753176662.313021,1753176662.3907034,1753176662.472,1753176662.4925327
EA_1,r6,69.74451279894132,1753176669.1595104,1753176669.2200239,1753176669.28,1753176669.2998023
EA_1,r6,69.91921671549113,1753176676.5035403,1753176676.5784972,1753176676.589,1753176676.6083977
EA_1,r6,69.61529463261225,1753176683.5870554,1753176683.6659935,1753176683.697,1753176683.7160685
EA_1,r6,70.22457543094673,1753176690.4782286,1753176690.5392911,1753176690.606,1753176690.6248176
EA_1,r6,69.67330020089639,1753176697.3989115,1753176697.475232,1753176697.514,1753176697.5332935
EA_1,r6,70.23192212249178,1753176704.274886,1753176704.334794,1753176704.422,1753176704.4415367
EA_1,r6,69.67330026302659,1753176711.119476,1753176711.2029858,1753176711.231,1753176711.249465
EA_1,r6,69.60528490049674,1753176718.0161452,1753176718.0887287,1753176718.139,1753176718.1588001
EA_1,r6,69.91480722267669,1753176725.1394653,1753176725.198668,1753176725.248,1753176725.2667358
